arrival_vessels_24h,port_capacity_utilization,visibility_km,wind_speed_knots,queue_length,arrival_hour,vessel_type,is_monsoon_season,day_of_week,delay_minutes,congestion_label,congestion_level,confidence_score
43,0.5826,8.65,41.82,12,1,0,0,1,373.51,1,2,0.7302
33,0.5924,18.24,40.17,6,2,0,0,5,316.0,1,2,0.6741
19,0.5162,15.07,23.28,14,4,1,0,1,273.03,1,1,0.6322
47,0.648,11.31,21.44,2,6,0,0,0,257.3,1,1,0.6169
12,0.2954,11.06,27.2,14,10,0,0,5,255.68,1,1,0.6153
25,0.5698,7.61,14.74,11,11,2,0,0,289.98,1,1,0.6487
43,0.4163,10.89,7.09,7,10,1,1,5,285.58,1,1,0.6444
23,0.6624,13.45,42.57,8,18,2,0,3,304.35,1,2,0.6627
27,0.22,8.95,12.47,12,12,1,0,3,220.85,0,1,0.6187
15,0.5852,14.57,12.94,11,3,2,0,2,277.87,1,1,0.6369
15,0.2575,17.36,23.9,1,13,0,0,1,137.45,0,0,0.7
28,0.3368,3.94,24.66,2,11,1,0,3,200.94,0,1,0.6381
40,0.2859,9.58,5.74,11,1,1,0,1,259.55,1,1,0.6191
44,0.2554,8.75,10.92,12,7,2,0,2,297.18,1,1,0.6557
28,0.8019,14.06,20.13,6,21,1,0,0,241.2,1,1,0.6012
7,0.3429,5.75,32.35,4,18,2,1,3,264.8,1,1,0.6242
26,0.8881,13.16,14.14,9,12,1,0,4,238.61,0,1,0.6014
6,0.9244,17.67,21.92,6,20,1,0,4,194.31,0,1,0.6445
28,0.5856,8.94,27.29,1,20,2,0,4,262.51,1,1,0.6219
48,0.2216,18.31,40.54,13,0,2,0,6,352.75,1,2,0.7099
34,0.4184,19.87,18.04,13,4,1,0,4,264.24,1,1,0.6236
42,0.7781,3.02,10.34,3,21,0,0,4,282.17,1,1,0.6411
6,0.4123,5.43,24.57,0,10,0,1,4,207.92,0,1,0.6313
25,0.174,19.06,34.87,14,10,0,0,4,242.33,1,1,0.6023
37,0.5733,19.21,9.39,4,12,0,1,3,236.21,0,1,0.6037
16,0.8184,2.86,21.99,7,1,0,0,4,299.95,1,1,0.6584
26,0.7765,1.28,5.71,0,18,1,0,5,235.1,0,1,0.6048
48,0.2489,4.06,6.34,6,15,2,0,5,299.49,1,1,0.658
29,0.6718,19.92,24.32,6,4,0,0,4,255.0,1,1,0.6146
31,0.2874,4.42,16.93,6,13,1,0,6,239.61,0,1,0.6004
46,0.2855,10.55,38.8,14,18,0,0,2,312.61,1,2,0.6708
32,0.843,17.12,29.09,0,4,2,0,3,292.83,1,1,0.6515
20,0.3122,1.39,23.16,11,20,0,1,5,319.43,1,2,0.6774
19,0.3238,12.49,21.32,10,23,1,0,2,189.02,0,1,0.6497
48,0.1006,6.26,24.89,2,8,2,0,1,256.68,1,1,0.6163
7,0.8401,17.38,6.62,10,23,0,0,4,213.52,0,1,0.6258
41,0.7737,6.39,40.71,1,11,1,0,0,272.78,1,1,0.632
11,0.6332,14.05,44.93,14,15,2,0,6,338.36,1,2,0.6959
25,0.7377,13.81,12.26,14,18,0,0,6,291.62,1,1,0.6503
13,0.2292,5.21,9.82,4,14,2,0,6,218.31,0,1,0.6212
43,0.4896,1.66,10.74,1,16,2,0,4,276.44,1,1,0.6355
22,0.3985,8.78,31.44,12,14,0,0,4,262.64,1,1,0.6221
8,0.1797,6.49,31.46,13,2,0,0,2,257.56,1,1,0.6171
29,0.5132,16.37,38.92,4,16,1,0,6,241.84,1,1,0.6018
18,0.8826,16.21,35.07,4,12,2,0,6,303.45,1,2,0.6619
13,0.1341,9.68,22.99,3,8,0,1,6,210.85,0,1,0.6284
30,0.3477,12.52,29.51,10,12,1,0,1,234.2,0,1,0.6057
6,0.2764,12.48,32.53,6,15,0,0,2,184.85,0,1,0.6538
24,0.3024,16.72,25.51,9,18,2,0,3,236.72,0,1,0.6032
32,0.8722,9.08,24.03,5,13,1,0,6,288.06,1,1,0.6469
11,0.4979,6.23,30.8,1,7,1,0,1,181.19,0,1,0.6573
48,0.4964,6.04,27.3,14,21,1,0,5,364.11,1,2,0.721
12,0.7465,11.19,30.76,3,18,2,0,1,243.64,1,1,0.6035
39,0.2313,9.53,29.51,12,23,0,0,1,282.58,1,1,0.6415
18,0.5142,9.36,33.77,13,2,1,0,2,287.04,1,1,0.6459
21,0.4655,2.73,30.71,10,22,0,0,4,271.38,1,1,0.6306
40,0.6074,14.65,25.79,6,20,1,0,4,243.89,1,1,0.6038
44,0.9496,5.06,32.27,8,17,1,0,4,341.51,1,2,0.699
8,0.754,4.74,22.98,8,15,1,0,4,231.9,0,1,0.6079
6,0.4382,8.84,14.67,11,13,1,0,4,192.96,0,1,0.6459
10,0.8034,5.33,5.06,2,15,1,0,3,175.36,0,1,0.663
46,0.2451,12.09,27.4,0,23,2,0,0,241.74,1,1,0.6017
8,0.1259,8.06,28.63,8,16,0,0,5,203.87,0,1,0.6352
33,0.2738,9.53,43.88,7,19,0,0,1,256.25,1,1,0.6158
22,0.3893,11.21,19.46,6,10,2,0,0,231.94,0,1,0.6079
30,0.534,4.87,20.77,5,12,2,0,3,283.0,1,1,0.6419
48,0.6229,3.96,13.07,13,10,1,1,6,384.99,1,2,0.7414
38,0.874,17.73,7.82,14,3,2,0,6,377.08,1,2,0.7337
14,0.5334,9.24,35.91,9,13,1,0,4,230.83,0,1,0.6089
40,0.5261,8.83,14.99,6,4,2,0,6,344.77,1,2,0.7021
18,0.1427,1.68,29.36,10,3,1,0,3,261.09,1,1,0.6206
35,0.1297,10.46,32.51,8,0,0,0,5,265.89,1,1,0.6252
19,0.5685,11.53,23.85,5,13,1,0,5,227.81,0,1,0.6119
12,0.4725,11.62,40.05,14,6,2,0,3,289.78,1,1,0.6485
18,0.8133,14.43,22.75,13,9,0,1,6,344.13,1,2,0.7015
27,0.2366,4.37,16.4,13,1,2,0,0,325.08,1,2,0.683
44,0.1212,5.79,40.84,9,9,1,0,1,278.37,1,1,0.6374
25,0.4817,16.4,39.46,2,2,1,0,2,230.24,0,1,0.6095
20,0.3019,19.0,11.56,12,20,1,0,2,169.26,0,1,0.669
49,0.1422,3.58,6.04,13,7,1,1,5,325.01,1,2,0.6829
22,0.7159,10.46,8.6,2,9,1,1,1,223.4,0,1,0.6162
28,0.1949,5.07,16.46,3,7,0,0,4,189.41,0,1,0.6493
30,0.6171,2.14,43.89,9,13,2,0,3,349.32,1,2,0.7066
29,0.3389,7.18,27.34,12,17,1,0,6,285.44,1,1,0.6443
49,0.2475,3.73,19.93,13,8,2,0,4,344.44,1,2,0.7018
45,0.4228,14.49,40.55,14,21,1,0,5,326.65,1,2,0.6845
33,0.7812,11.14,23.13,13,8,1,0,3,303.58,1,2,0.662
19,0.4333,3.73,17.61,9,3,1,0,2,256.66,1,1,0.6162
49,0.7382,1.18,42.65,7,2,2,0,5,457.38,1,2,0.8119
5,0.2067,16.35,38.98,9,13,0,0,5,213.05,0,1,0.6263
29,0.7569,4.35,38.75,8,13,2,0,1,347.41,1,2,0.7047
11,0.3014,12.52,25.49,13,20,1,0,0,206.51,0,1,0.6327
13,0.6758,7.4,36.58,7,15,2,1,5,353.25,1,2,0.7104
